Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,CountryID,Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
111,senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,143,Senegal,Sub-Saharan Africa,117.0,16.0,56.3,47.8,40.4,40.3,70.8,73.3,60.0,53.3,39.4,78.2,72.0,60.0,40.0,9.0,40.0,30.0,20.4,29.8,15.9,$43.2 ,7.2,5.6,"$2,727",4.9,1.4,532.3,61.2
113,namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,117,Namibia,Sub-Saharan Africa,99.0,10.0,58.7,55.9,54.7,49.8,66.5,48.9,15.7,65.8,85.1,74.4,83.0,65.0,40.0,1.0,37.0,34.0,28.6,41.3,2.3,$26.5 ,-1.2,3.6,"$11,312",23.3,6.1,416.0,46.1
114,niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,122,Niger,Sub-Saharan Africa,151.0,31.0,51.6,37.2,31.0,34.1,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55.0,40.0,9.6,35.0,30.0,13.5,28.5,18.8,$21.8 ,5.2,5.4,"$1,164",0.4,2.4,334.3,46.5
115,burkina faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,24,Burkina Faso,Sub-Saharan Africa,96.0,9.0,59.4,49.1,42.9,36.6,81.9,80.0,61.8,51.6,52.3,86.2,65.2,65.0,40.0,7.4,27.5,28.0,16.3,25.8,18.9,$35.8 ,6.4,5.3,"$1,889",6.3,0.4,485.9,38.3
116,armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,6,Armenia,Europe,47.0,24.0,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0,2.1,26.0,20.0,21.3,26.4,3.0,$28.3 ,7.5,3.6,"$9,456",18.2,0.9,245.7,53.5
117,iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,76,Iran,Middle East and North Africa,155.0,13.0,51.1,33.5,41.3,35.0,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5.0,10.0,15.2,35.0,25.0,8.0,18.5,81.4,"$1,644.7 ",4.3,3.6,"$20,200",12.5,9.9,"5,019.0",40.9
118,guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,66,Guinea,Sub-Saharan Africa,120.0,19.0,55.7,34.7,32.6,25.5,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50.0,40.0,10.9,40.0,35.0,15.3,18.4,13.0,$26.5 ,6.7,4.9,"$2,041",4.5,8.9,576.5,39.7
119,georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,61,Georgia,Europe,16.0,8.0,75.9,65.9,54.6,58.5,87.1,73.6,93.9,85.8,76.6,76.0,88.6,80.0,70.0,0.7,20.0,15.0,25.8,29.6,3.7,$39.7 ,4.8,3.7,"$10,747",11.6,6.0,"1,861.9",44.9
120,gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,60,Gambia,Sub-Saharan Africa,146.0,30.0,52.4,39.9,42.5,41.2,74.3,70.7,0.0,54.0,67.4,62.4,61.6,65.0,50.0,14.2,35.0,32.0,17.9,31.3,2.1,$3.6 ,3.5,3.1,"$1,713",9.5,8.0,87.5,123.2
121,kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,85,Kenya,Sub-Saharan Africa,130.0,22.0,55.1,53.8,46.9,32.1,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55.0,50.0,12.3,30.0,30.0,15.7,27.2,46.7,$163.1 ,4.8,5.5,"$3,491",11.5,8.0,671.7,55.6
122,mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,108,Mauritania,Sub-Saharan Africa,119.0,18.0,55.7,27.5,30.6,30.6,78.0,74.2,80.6,61.9,51.5,81.2,62.6,50.0,40.0,8.7,30.0,25.0,25.9,29.3,3.9,$17.3 ,3.2,3.5,"$4,444",9.9,2.3,329.6,91.1
123,mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,116,Mozambique,Sub-Saharan Africa,163.0,40.0,48.6,33.9,35.2,28.1,75.5,66.9,16.6,57.1,42.0,65.4,78.0,35.0,50.0,3.5,32.0,32.0,20.2,33.2,29.5,$36.7 ,3.0,5.6,"$1,244",25.0,15.3,"2,293.1",102.2
124,tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,168,Tunisia,Middle East and North Africa,125.0,10.0,55.4,49.2,42.7,36.6,74.4,74.4,37.9,76.7,50.3,76.0,71.4,45.0,30.0,9.3,35.0,30.0,20.8,29.2,11.5,$135.4 ,1.9,1.7,"$11,755",15.4,5.3,879.5,71.3
125,bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,12,Bangladesh,Asia-Pacific,121.0,27.0,55.6,36.1,34.5,24.4,72.7,94.5,77.6,50.9,68.2,69.9,63.6,45.0,30.0,10.7,25.0,45.0,8.8,13.6,163.2,$687.1 ,7.1,6.7,"$4,211",4.4,5.7,"2,151.6",32.4
128,mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,106,Mali,Sub-Saharan Africa,103.0,12.0,58.1,33.7,33.4,29.6,68.7,85.4,84.2,53.8,52.2,81.6,69.8,65.0,40.0,7.6,40.0,35.0,17.6,22.1,18.9,$41.0 ,5.3,5.3,"$2,170",7.9,1.8,265.6,35.6
129,sierra leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,146,Sierra Leone,Sub-Saharan Africa,167.0,42.0,47.5,35.5,34.5,26.2,87.3,84.4,13.2,44.9,29.3,65.0,69.4,60.0,20.0,10.3,15.0,30.0,12.2,22.8,7.4,$11.5 ,3.5,2.9,"$1,553",4.5,18.0,560.0,58.4
130,sri lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,153,Sri Lanka,Asia-Pacific,115.0,25.0,56.4,44.7,39.4,28.9,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40.0,40.0,4.4,24.0,28.0,12.3,19.8,21.4,$274.7 ,3.1,4.2,"$12,811",4.1,6.5,"1,374.9",79.4
132,chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,32,Chad,Sub-Saharan Africa,159.0,36.0,49.9,26.7,24.6,23.2,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60.0,40.0,16.4,60.0,45.0,5.3,15.9,12.2,$28.6 ,-3.1,1.0,"$2,344",5.9,-0.9,335.0,52.5
